"Parameter","Rhat","nRows"
"Cov[17, 14]",1.03982538138647,372
"Cov[17, 15]",1.02092116157158,372
"Cov[17, 16]",1.00069641319827,372
"Cov[17, 17]",1.02597597232787,372
"muAlphaSites",3.17606910258066,372
"muAlphaSpecies",3.15222386908967,372
"muLatitude",1.00629248516452,372
"muSpecies",1.00004425023847,372
"rho",1.00210082413664,372
"shan[1]",1.00088792697769,372
"shan[2]",1.00008988355552,372
"shan[3]",1.00000102169924,372
"shan[4]",1.00020114525888,372
"shan[5]",1.00074517870549,372
"shan[6]",1.00034818656614,372
"shan[7]",1.00020358341012,372
"shan[8]",0.999961978499979,372
"shan[9]",1.00246501295897,372
"shan[10]",1.00047428509498,372
"shan[11]",1.00016019635506,372
"shan[12]",1.00134397658194,372
"shan[13]",1.00050752305521,372
"shan[14]",1.00042183508377,372
